Date Spot,SPC
16 Nov 15,15380
17 Nov 15,15480
18 Nov 15,15530
19 Nov 15,15580
20 Nov 15,15560
23 Nov 15,15640
24 Nov 15,15610
26 Nov 15,15680
27 Nov 15,15760
30 Nov 15,15870
1 Dec 15,15830
2 Dec 15,15780
3 Dec 15,15800
4 Dec 15,15820
7 Dec 15,15910
8 Dec 15,15930
9 Dec 15,15950
10 Dec 15,15970
11 Dec 15,15960
14 Dec 15,16110
15 Dec 15,16200
16 Dec 15,16130
17 Dec 15,16210
18 Dec 15,16190
21 Dec 15,16380
22 Dec 15,16330
23 Dec 15,16240
28 Dec 15,16360
29 Dec 15,16390
30 Dec 15,16330
31 Dec 15,16310
1 Jan 16,16390
4 Jan 16,16400
5 Jan 16,16330
6 Jan 16,16300
7 Jan 16,16280
8 Jan 16,16250
11 Jan 16,16190
12 Jan 16,16170
13 Jan 16,16190
14 Jan 16,16190
15 Jan 16,16170
18 Jan 16,16260
19 Jan 16,16370
20 Jan 16,16430
21 Jan 16,16370
22 Jan 16,16340
25 Jan 16,16280
27 Jan 16,16260
28 Jan 16,16240
29 Jan 16,16270
1 Feb 16,16260
2 Feb 16,16240
3 Feb 16,16270
4 Feb 16,16270
5 Feb 16,16200
8 Feb 16,16170
9 Feb 16,16090
10 Feb 16,16040
11 Feb 16,16040
12 Feb 16,16030
15 Feb 16,16120
16 Feb 16,16180
17 Feb 16,16230
18 Feb 16,16260
19 Feb 16,16230
22 Feb 16,16190
23 Feb 16,16090
24 Feb 16,16070
25 Feb 16,16090
26 Feb 16,16100
29 Feb 16,16140
1 Mar 16,16070
2 Mar 16,15990
3 Mar 16,15930
4 Mar 16,15910
8 Mar 16,15970
9 Mar 16,15920
10 Mar 16,15870
11 Mar 16,15870
14 Mar 16,15870
15 Mar 16,15780
16 Mar 16,15700
17 Mar 16,15630
18 Mar 16,15580
21 Mar 16,15570
22 Mar 16,15560
23 Mar 16,15610
28 Mar 16,15730
29 Mar 16,15740
30 Mar 16,15750
31 Mar 16,15760
1 Apr 16,15790
4 Apr 16,15930
5 Apr 16,15930
6 Apr 16,15950
7 Apr 16,15970
8 Apr 16,16060
11 Apr 16,16380
12 Apr 16,16390
13 Apr 16,16450
18 Apr 16,16480
20 Apr 16,16460
21 Apr 16,16500
22 Apr 16,16530
25 Apr 16,16500
26 Apr 16,16700
27 Apr 16,16710
28 Apr 16,16750
29 Apr 16,16760
2 May 16,16810
3 May 16,16920
4 May 16,16880
5 May 16,16960
6 May 16,16890
9 May 16,16840
10 May 16,16790
11 May 16,16800
12 May 16,16790
13 May 16,16800
16 May 16,16870
17 May 16,16920
18 May 16,16970
19 May 16,16990
20 May 16,16960
23 May 16,17110
24 May 16,17170
25 May 16,17320
26 May 16,17380
27 May 16,17530
30 May 16,17820
31 May 16,17840
1 Jun 16,17850
2 Jun 16,17830
3 Jun 16,17840
6 Jun 16,18310
7 Jun 16,18530
8 Jun 16,18670
9 Jun 16,18700
10 Jun 16,18730
13 Jun 16,19040
14 Jun 16,19110
15 Jun 16,19230
16 Jun 16,19460
17 Jun 16,19470
20 Jun 16,19620
21 Jun 16,19570
22 Jun 16,19420
23 Jun 16,19490
24 Jun 16,19510
27 Jun 16,19740
28 Jun 16,19840
29 Jun 16,20070
30 Jun 16,20340
1 Jul 16,20520
4 Jul 16,20630
5 Jul 16,20650
7 Jul 16,21290
8 Jul 16,21340
11 Jul 16,21710
12 Jul 16,21820
13 Jul 16,22350
14 Jul 16,22670
15 Jul 16,23210
18 Jul 16,23720
19 Jul 16,23080
20 Jul 16,22560
21 Jul 16,22470
22 Jul 16,22850
25 Jul 16,22620
26 Jul 16,22470
27 Jul 16,22520
28 Jul 16,22540
29 Jul 16,22420
1 Aug 16,22490
2 Aug 16,22500
3 Aug 16,22550
4 Aug 16,22570
5 Aug 16,22740
8 Aug 16,22940
9 Aug 16,22860
10 Aug 16,22660
11 Aug 16,22540
12 Aug 16,22650
16 Aug 16,22360
17 Aug 16,22330
18 Aug 16,22330
19 Aug 16,22190
22 Aug 16,22030
23 Aug 16,21990
24 Aug 16,21930
25 Aug 16,21930
26 Aug 16,21930
29 Aug 16,21460
30 Aug 16,21320
31 Aug 16,21180
1 Sep 16,21140
2 Sep 16,21060
6 Sep 16,20680
7 Sep 16,20650
8 Sep 16,20690
9 Sep 16,20710
12 Sep 16,21040
14 Sep 16,21500
15 Sep 16,21740
16 Sep 16,22010
19 Sep 16,22610
20 Sep 16,23060
21 Sep 16,23140
22 Sep 16,23200
23 Sep 16,22930
26 Sep 16,22410
27 Sep 16,22250
28 Sep 16,22130
29 Sep 16,21970
30 Sep 16,21890
3 Oct 16,21970
4 Oct 16,22250
5 Oct 16,22350
6 Oct 16,22310
7 Oct 16,22210
10 Oct 16,21630
13 Oct 16,20710
14 Oct 16,20280
17 Oct 16,20450
18 Oct 16,20180
19 Oct 16,20050
